group_name,folder_name,folder_value
furry-central,Featured,24449309
the-furry-art-cave,Featured 2.0,55082823
furry--artists,Featured,32673578
furry-artists-unite,Fan Art,56324252
furry-artits-ftw,Featured,35311504
zdragon-and-furry,pokemon,57685371
clubanthro,Digital,38585249
anthro-freedom,fan art,39764040
anthroluv,Featured,34656277
art-all-anthro,Pokemon,34379296
land-of-furries,Fanart,48253320
all-the-furs,Fan Art,51326589
crazy-furries,Canine,45379887
the-anthro-den,Fandom,38499269
emotive-anthros,Other,37433405
anthro-attack,Digital 2,51014792
united-furry-club,FAN ART,25601015
anthroandanimals,animal digital art,30314364
anthrolegendsofearth,Fanart,52798527
anthro-furry-pack,Fanart,60610307
anthro-friends,Fan art,52314197
bestfurry,Fanart,46477346
furry-pikis,Featured,25413529
xfurry-fightersx,Canines,25792664
weareanthro,FanArt,30519847
anthrolicious,Fanart,33171478
anthrouniverse,Pokemon anthro,47394195
proudanthroartist,Hybrids and Others,51819449
the-anthro-group,Other 2,58522756
anthrocity,Fan Art,48043237
teen-furries,- Feral -,49633141
furrycentral,Canines,51073195
furternityclub,Fan Art,29490773
anthrosity,Fanart,27752193
anthro-inc,Canine 2 - FULL use canine 3,34184276
furryfriendsgroup,Feral - Canines,56372980
fuckyouimananthro,Fanart folder,55915253
furry-united,Digital 3,61163459
furry-is-forever,Fan art,53194040
animal-art-community,Pokemon Digimon,24334387
anthroclub,Pokemon,55913962
all-anthro-artists,Pokemon Anthro,37936336
anthro-junkies,Canine II,48077094
pokemonzloverz,Normal-Type,25209017
pokemon-artistz,Featured,27125064
pokemonpals,Pokemon 1-5 gen,32931652
trainer-base,Digital Art,29764441
pokemon-guild,Generation 1,55475959
pokemon-legendz,Featured,25814892
pokemon-canine-club,Featured,6678816
poke-topia,Featured,26745220
pokestarz,Kanto Region,28479381
legendary-pokemons,Generation 1,26880075
pokemon-fans-unite,Generation 1,29355144
catch-them-all,Pokemons,25196008
poke-freaks,Fakemon,24698468
fanclub-white,OC'S - Evoli et Eeveelution,37556563
pikachu-empire,Featured,24835403
pikachu-camp,Pokemon,39444100
pokemontraineroc,Pokemon,32651116
adorablepokemon,Really cute,55813772
eevee-takeover,Featured,34062593
pokemonultimate,Eeveelutions,33224652
pokeluvers,Pokemon OCs,26054075
eeveelutionforlife,Eevee,52884200
eeveelutions-9,Eevee,42117316
pokemon-art-work3379,Gen 1,50933106
pokemonland,Eeveelutions,48894159
pokemonbw-2,other Black White PKMN,35572911
pokemon-x-and-y-fans,Oc's,56094243
pokemon--x-y-andco,Poke Center - Submit Deviations HERE,48698487
the-love-of-pokemon,Eeveelutions,42153356
thepokeartists,"Please, submit your deviations here",37905595
eevee-garden,ArtWork Moving Folder,35570692
unhuman-ocs,Oc Fanart,41517086
the-pokemon-masters,Pokemon,35051079
the-pokemon-united,any other pokemon,34148454
all-pokemon-art,Featured,51705683
pokemon-are-awesome,Featured,33618134
poke-request-love,Gen 1,33271952
alliance-of-pokemon,Featured,32824583
pokemon-honor,Normal,38911361
pokesona-corner,OCs,31663127
lovetheeevees,Eevee,30010617
legends-of-pokemon,Random Pokemanz,28728228
clubeevee,Eevee,28503546
theeeveefans,eevee,28041644
poke-land,Poke-Images,28606787
eevee-fans-foreverz,Eevee,33107651
pokemon-oc-adventure,Pokemon OCs male,30560059
eevee-tards,Eevee,25573378
eeveeofficialgroup,Eevee,49973471
eeveelution-fandom,Featured,25958559
pokemon-freelancers,Digital Art,26904753
pokeheroes,Featured,32483690
cute-cafe,ASK,-2
creatureocs,CanineOCs2 SUBMIT HERE,45426003
globaldex,Fanart,24758276
cutestuffplace,Photography,31678146
the-world-of-pokemon,Digital.,32262095
poke-fans-unite,Gen 1,42330074
eeveelutionrevolutn,Featured,24577526
theeeveelurvers,Featured,24659614
disney-pokemon-club,Featured,24237354
pokesona,Featured,24168857
disney-pokemon-club,Featured,24237354
eeveeandfriends,Eevee,46840389
pokesona,Featured,24168857
cuteanimeanimals,Other,24109220
eeveelutions-club,Featured,23952151
eeveelution-fan-club,Eevee,8901884
eeveefanclub,Fan Art,34396029
poke-passion,Eeveelutions,33848086
poke-poke-fans,pokemon on their own,49883846
pokefans-and-more,Pokemon,48873203
ultimatepokemonfans,miscellaneous,26584705
pokemon-x-y,Generation VI,53319973
pokemonroot,First Gen,33706824
weloveallpokemon,Normal-Type,37927973
poketopia,Generation I - Kanto,43566900
pokemonfanatica,First generation pokemon,34199041
pokemon-for-everyone,Pokemon gen 1,27059174
pokemon4eternity,Other,33018500
pokemon-journey,Pokemons only,50799706
pokemon-fanz,Featured,26436370
pokemontoday,1st Generation,25874977
welovepokemon,Johto Pokemon- 2nd Gen,24268096
the-pokemon-fanclub,Trainers and OCs,25140657
poke-gen-6,Generation 1,41538951
generationvi,Featured,41525123
pokemoncorner,Kanto Pokemon- 1st Gen.,31124370
poke-geeks,Where in hell do I put my pokemon?,26647737
pokewalkers,Featured,24776447
pokemon-r-us,Featured,26421597
kanto-pokemon-group,Featured,24662517
its-a-pokemon-world,Pokemon,33818238
pokemon-power-rawr,OC's,56232282
pokemonfans4ever,"Pokesonas, Poke-ocs",58048266
national-pokedex,1-151 Kanto,40243435
pokemon-fans-force,Generation 1-Kanto,41847414
pokemoncentre,Generation 1,59160334
my-fair-pokemon,Kanto,36637485
pokemoncreativity,Kanto,36258665
pokemonkantojohto,Featured,31808392
pokemonfreaks,1st Generation,27834789
everythingpokemonart,Kanto Pokemon,30999407
all-pokemon-stuff,Fanart,34825232
pokemon-paintings,gen 1,35306524
the-eevee-kingdom,Starter Street - EEVEE,28198388
pkmn-fans-unite,Kanto,38060762
generation-pokemon,UNUSED,-1
eeveeclubforfans,Eevee,26552633
pokemon-fan--club,UNUSED,-1
pokenerds-united,Kanto Pokemon,36772334
poke-lovers,1st generation pokemon OPEN,43727033
pokemondungeon,"Fusions, Fakemon, Gijinka, OC Trainers",45024740
pokemon-fans-group,Devious Folder,50228065
worldofpokemon,Normal Type,53602415
pokemon-black-white,Pokemon,24999418
pokepark-wonders,Pokemon OCs,41222259
pokesation,Featured,50232845
hoenn-island,Just Pokemon,49439903
pokemonplanet,Pokemon Cards,29963418
your-pokemon,1st gen. Kanto,27390973
we-like-pokemon,Characters,36235341
pokemon-domain,Pokemon 5,56520829
pokemonwrestlingfans,Pokemon 3,51579672
pokefanatics,Generation 3,27595590
the-poke-animeclub,pokemon media art,25334902
pokemonfanclub1,Generation 1 Folder 4,56544304
pokemon-forever,Kanto II,45811734
poke-fanclub,Poke-Fan Art,59848586
pokemon-all-around,Generation 1,49231417
pokemonhereforever,Featured,38988652
