group_name,folder_name,folder_value
anthrolegendsofearth,Furry Anthro Male OC,52798504
anthro-furry-pack,Single Anthros,33142986
anthro-friends,Anthro OC,52314100
bestfurry,Digital Art,46477303
furry-pikis,Featured,25413529
xfurry-fightersx,Felines,25792669
weareanthro,Digital Art,30519564
anthrolicious,Digital Anthro,58256783
anthrouniverse,Feline Anthro,47394187
proudanthroartist,Felines,51819406
the-anthro-group,Felids,28521569
anthrocity,Digital Art 4,54727185
teen-furries,- Anthro -,49633136
furrycentral,Felines,51073201
furternityclub,Cat Feline,30125462
anthrosity,Digital 3,52806019
anthro-inc,Feline 3,59070416
furryfriendsgroup,Anthro - Felines,56372972
fuckyouimananthro,Mammal,55915238
furry-united,Digital 3,61163459
furry-is-forever,General Furry 9,59329397
animal-art-community,All Anthro -4-,55089155
anthroclub,Digital 5,60345424
all-anthro-artists,Feline Anthro,37047404
anthro-junkies,Feline,31434758
pokemonzloverz,UNUSED,-1
pokemon-artistz,UNUSED,-1
pokemonpals,UNUSED,-1
trainer-base,UNUSED,-1
pokemon-guild,UNUSED,-1
pokemon-legendz,UNUSED,-1
pokemon-canine-club,UNUSED,-1
poke-topia,UNUSED,-1
pokestarz,UNUSED,-1
legendary-pokemons,UNUSED,-1
pokemon-fans-unite,UNUSED,-1
catch-them-all,UNUSED,-1
poke-freaks,UNUSED,-1
fanclub-white,UNUSED,-1
pikachu-empire,UNUSED,-1
pikachu-camp,UNUSED,-1
pokemontraineroc,UNUSED,-1
adorablepokemon,UNUSED,-1
eevee-takeover,UNUSED,-1
pokemonultimate,UNUSED,-1
pokeluvers,UNUSED,-1
eeveelutionforlife,UNUSED,-1
eeveelutions-9,UNUSED,-1
pokemon-art-work3379,UNUSED,-1
pokemonland,UNUSED,-1
pokemonbw-2,UNUSED,-1
pokemon-x-and-y-fans,UNUSED,-1
pokemon--x-y-andco,UNUSED,-1
the-love-of-pokemon,UNUSED,-1
thepokeartists,UNUSED,-1
eevee-garden,UNUSED,-1
unhuman-ocs,Male Oc's 4,62444708
the-pokemon-masters,UNUSED,-1
the-pokemon-united,UNUSED,-1
all-pokemon-art,UNUSED,-1
pokemon-are-awesome,UNUSED,-1
poke-request-love,UNUSED,-1
alliance-of-pokemon,UNUSED,-1
pokemon-honor,UNUSED,-1
pokesona-corner,UNUSED,-1
lovetheeevees,UNUSED,-1
legends-of-pokemon,UNUSED,-1
clubeevee,UNUSED,-1
theeeveefans,UNUSED,-1
poke-land,UNUSED,-1
eevee-fans-foreverz,UNUSED,-1
pokemon-oc-adventure,UNUSED,-1
eevee-tards,UNUSED,-1
eeveeofficialgroup,UNUSED,-1
eeveelution-fandom,UNUSED,-1
pokemon-freelancers,UNUSED,-1
pokeheroes,UNUSED,-1
cute-cafe,UNUSED,-1
creatureocs,UNUSED,-1
globaldex,UNUSED,-1
cutestuffplace,UNUSED,-1
the-world-of-pokemon,UNUSED,-1
poke-fans-unite,UNUSED,-1
eeveelutionrevolutn,UNUSED,-1
theeeveelurvers,UNUSED,-1
disney-pokemon-club,UNUSED,-1
pokesona,UNUSED,-1
disney-pokemon-club,UNUSED,-1
eeveeandfriends,UNUSED,-1
pokesona,UNUSED,-1
cuteanimeanimals,UNUSED,-1
eeveelutions-club,UNUSED,-1
eeveelution-fan-club,UNUSED,-1
eeveefanclub,UNUSED,-1
poke-passion,UNUSED,-1
poke-poke-fans,UNUSED,-1
pokefans-and-more,UNUSED,-1
ultimatepokemonfans,UNUSED,-1
pokemon-x-y,UNUSED,-1
pokemonroot,UNUSED,-1
weloveallpokemon,UNUSED,-1
poketopia,UNUSED,-1
pokemonfanatica,UNUSED,-1
pokemon-for-everyone,UNUSED,-1
pokemon4eternity,UNUSED,-1
pokemon-journey,UNUSED,-1
pokemon-fanz,UNUSED,-1
pokemontoday,UNUSED,-1
welovepokemon,UNUSED,-1
the-pokemon-fanclub,UNUSED,-1
poke-gen-6,UNUSED,-1
generationvi,UNUSED,-1
pokemoncorner,UNUSED,-1
poke-geeks,UNUSED,-1
pokewalkers,UNUSED,-1
pokemon-r-us,UNUSED,-1
kanto-pokemon-group,UNUSED,-1
its-a-pokemon-world,UNUSED,-1
pokemon-power-rawr,UNUSED,-1
pokemonfans4ever,UNUSED,-1
