group_name,folder_name,folder_value
fiction-writers,ASK,-2
love-original-lit,ASK,-2
thewriteplace,ASK,-2
write-write-on,ASK,-2
writing-central,ASK,-2
we-live-to-write,ASK,-2
writing-is-escapism,ASK,-2
fancifulwriters,ASK,-2
the-writers-study,ASK,-2
good-literature,ASK,-2
writtenexcellence,ASK,-2
literature-anonymous,ASK,-2
worthywriters,ASK,-2
literature-unleashed,ASK,-2
writers-welcome,ASK,-2
write-original,ASK,-2
authors-academy,ASK,-2
thelifeofwords,ASK,-2
live-to-write,ASK,-2
spotlightwriters,ASK,-2
fighttowrite,ASK,-2
ourstories,ASK,-2
ordinary-writing,ASK,-2
youfiction-haven,ASK,-2
theauthorcorner,ASK,-2
writing-to-live,ASK,-2
litlovers,ASK,-2
written-emotion,ASK,-2
short-stories,ASK,-2
writer-promotion,ASK,-2
aspiringwritersdojo,ASK,-2
xwritersutopiax,ASK,-2
half-way-there,ASK,-2
the-free-pens,ASK,-2
fantasyauthorsguild,ASK,-2
poetsandwriters,ASK,-2
unseen-authors,ASK,-2
live-love-write,ASK,-2
writing-condition,ASK,-2
writersforge,ASK,-2
storieswethinkup,ASK,-2
writing-writers,ASK,-2
literaturejunkies,ASK,-2
we-write-to-escape,ASK,-2
writeroomies,ASK,-2
write-away,ASK,-2
magicalliterature,ASK,-2
writing-rampage,ASK,-2
thescribblists,ASK,-2
writers-and-editors,ASK,-2
writingismyaddiction,ASK,-2
authors-club,ASK,-2
universal-writers,ASK,-2
thefictionnetwork,ASK,-2
the-creative-writer,ASK,-2
unseen-writers,ASK,-2
written-imagination,ASK,-2
paint-with-words,ASK,-2
united-to-write,ASK,-2
thewritingobsession,ASK,-2
nitpickingnovelist,ASK,-2
underrated-writers,ASK,-2
full-of-lit,ASK,-2
word-smiths,ASK,-2
writefiction,ASK,-2
literatureanonymous,ASK,-2
da-literature,ASK,-2
literature-accepted,ASK,-2
deviantliterature,ASK,-2
livingliterature,ASK,-2
love-writing,ASK,-2
writing-4-life,ASK,-2
amateur-writing,ASK,-2
derps-unite,UNUSED,-1
writers-central,ASK,-2
ink-slingers,ASK,-2
authorsescape,ASK,-2
writers--club,ASK,-2
apocalypse-writing,ASK,-2
getdailydeviations,UNUSED,-1
sixwordstories,UNUSED,-1
weapondesigners,UNUSED,-1
deviantarms,UNUSED,-1
weaponmakers,UNUSED,-1
deviantweapons,UNUSED,-1
the-weaponry-guild,UNUSED,-1
3-d-art,UNUSED,-1
anno2112,UNUSED,-1
the3dartistclub,UNUSED,-1
future-war-club,UNUSED,-1
fictional-weapons,UNUSED,-1
poetry-all-the-time,UNUSED,-1
teamfortress2club,UNUSED,-1
swordsbladesart,UNUSED,-1
